split_mode,seed,model_name,split,rows,selected_base_combo,correction_method,selected_k,selected_bandwidth_scale,selected_amount,device_used,cuda_device_name,mean_3d_error_mm,median_3d_error_mm,p90_3d_error_mm,p95_3d_error_mm,max_3d_error_mm,pass_2mm_rate,pass_2p5mm_rate
v1000_only_random,12,cuda_density_aware_local_krr,test,88,target3_delta05_a3e-4_g0p03+trig_x2_a1e-4_g0p03+target_x2_a1e-3_g0p15,adaptive_residual,5,0.5,1.0,cuda,NVIDIA GeForce RTX 2070 SUPER,2.5174859126764884,1.5267352813127326,4.224378611002789,5.946232588654614,27.15648170093122,0.6136363636363636,0.7159090909090909
v1000_only_random,13,cuda_density_aware_local_krr,train,408,target3_delta05_a1e-4_g0p03+target_x3_a1e-4_g0p03+target_x2_a1e-4_g0p07,adaptive_residual,5,0.5,1.0,cuda,NVIDIA GeForce RTX 2070 SUPER,1.2526652956738809,0.996287859432217,2.4329194930902593,3.0363461210559364,5.7367144023086825,0.8259803921568627,0.9093137254901961
v1000_only_random,13,cuda_density_aware_local_krr,valid,88,target3_delta05_a1e-4_g0p03+target_x3_a1e-4_g0p03+target_x2_a1e-4_g0p07,adaptive_residual,5,0.5,1.0,cuda,NVIDIA GeForce RTX 2070 SUPER,1.9840224223878877,1.6918019432245357,3.765209938499986,4.6274499848645405,7.28395256938161,0.625,0.7386363636363636
v1000_only_random,13,cuda_density_aware_local_krr,test,88,target3_delta05_a1e-4_g0p03+target_x3_a1e-4_g0p03+target_x2_a1e-4_g0p07,adaptive_residual,5,0.5,1.0,cuda,NVIDIA GeForce RTX 2070 SUPER,1.9359462897284927,1.5677010531088342,3.585918965469531,4.1533046925609085,7.720234087920388,0.6477272727272727,0.7272727272727273
v1000_only_random,14,cuda_density_aware_local_krr,train,408,target3_delta05_a3e-4_g0p03+target_x2_a1e-4_g0p07,adaptive_residual,5,0.5,0.5,cuda,NVIDIA GeForce RTX 2070 SUPER,1.271205009120966,1.0244484075768536,2.4917665375544535,3.0827508596731352,4.7826610963778124,0.8357843137254902,0.8995098039215687
v1000_only_random,14,cuda_density_aware_local_krr,valid,88,target3_delta05_a3e-4_g0p03+target_x2_a1e-4_g0p07,adaptive_residual,5,0.5,0.5,cuda,NVIDIA GeForce RTX 2070 SUPER,1.9452536202789632,1.5872890041794543,3.6973971312605234,4.858636190297138,10.194928448465168,0.6590909090909091,0.7954545454545454
v1000_only_random,14,cuda_density_aware_local_krr,test,88,target3_delta05_a3e-4_g0p03+target_x2_a1e-4_g0p07,adaptive_residual,5,0.5,0.5,cuda,NVIDIA GeForce RTX 2070 SUPER,2.0720169951085095,1.7657238871311856,3.727887116830011,4.571581029600107,9.185483893829039,0.6022727272727273,0.6931818181818182
v1000_only_random,15,cuda_density_aware_local_krr,train,408,target3_delta05_a3e-4_g0p03+trig_x2_a1e-4_g0p03+target_x2_a1e-4_g0p07,adaptive_residual,5,0.5,0.75,cuda,NVIDIA GeForce RTX 2070 SUPER,1.2796337523504524,1.0418356728230003,2.507894295020402,3.1259105667008042,7.098359680903382,0.8455882352941176,0.8946078431372549
v1000_only_random,15,cuda_density_aware_local_krr,valid,88,target3_delta05_a3e-4_g0p03+trig_x2_a1e-4_g0p03+target_x2_a1e-4_g0p07,adaptive_residual,5,0.5,0.75,cuda,NVIDIA GeForce RTX 2070 SUPER,1.9013543485485067,1.4498725188705104,3.7592907044424173,4.637941701453382,8.671169621669828,0.6590909090909091,0.7613636363636364
v1000_only_random,15,cuda_density_aware_local_krr,test,88,target3_delta05_a3e-4_g0p03+trig_x2_a1e-4_g0p03+target_x2_a1e-4_g0p07,adaptive_residual,5,0.5,0.75,cuda,NVIDIA GeForce RTX 2070 SUPER,2.0727050320732334,1.4457409707192417,3.9287721066638945,4.588779790187587,14.408512215871662,0.6363636363636364,0.7272727272727273
v1000_only_random,16,cuda_density_aware_local_krr,train,408,target3_delta05_a3e-4_g0p03+trig_x2_a1e-4_g0p03+target05_trig2_a3e-4_g0p05,adaptive_residual,5,0.5,1.0,cuda,NVIDIA GeForce RTX 2070 SUPER,1.3927268036897478,1.049024475879643,2.931881206872662,3.622939405739588,6.67564276612486,0.7818627450980392,0.8553921568627451
v1000_only_random,16,cuda_density_aware_local_krr,valid,88,target3_delta05_a3e-4_g0p03+trig_x2_a1e-4_g0p03+target05_trig2_a3e-4_g0p05,adaptive_residual,5,0.5,1.0,cuda,NVIDIA GeForce RTX 2070 SUPER,1.8424794453268925,1.5237051142058697,3.8739969369337866,4.837766168702567,7.632557001336916,0.6590909090909091,0.7954545454545454
v1000_only_random,16,cuda_density_aware_local_krr,test,88,target3_delta05_a3e-4_g0p03+trig_x2_a1e-4_g0p03+target05_trig2_a3e-4_g0p05,adaptive_residual,5,0.5,1.0,cuda,NVIDIA GeForce RTX 2070 SUPER,1.80863978970173,1.4496238038339198,3.662051127172788,4.27273414371802,5.830885191909661,0.6931818181818182,0.7613636363636364
v1000_only_random,17,cuda_density_aware_local_krr,train,408,target3_delta05_a1e-4_g0p03+target3_delta05_a3e-4_g0p03+target05_trig2_a3e-4_g0p05+target_x2_a1e-4_g0p07+target_x2_a1e-3_g0p15,adaptive_residual,5,0.5,0.75,cuda,NVIDIA GeForce RTX 2070 SUPER,1.2608422003317872,0.9976779814805231,2.5801956258931713,3.0278255514300247,6.382646628988116,0.8161764705882353,0.8897058823529411
v1000_only_random,17,cuda_density_aware_local_krr,valid,88,target3_delta05_a1e-4_g0p03+target3_delta05_a3e-4_g0p03+target05_trig2_a3e-4_g0p05+target_x2_a1e-4_g0p07+target_x2_a1e-3_g0p15,adaptive_residual,5,0.5,0.75,cuda,NVIDIA GeForce RTX 2070 SUPER,1.887705805585332,1.543098643617236,4.118430000227037,4.282980731851463,5.130935846446878,0.6363636363636364,0.7727272727272727
v1000_only_random,17,cuda_density_aware_local_krr,test,88,target3_delta05_a1e-4_g0p03+target3_delta05_a3e-4_g0p03+target05_trig2_a3e-4_g0p05+target_x2_a1e-4_g0p07+target_x2_a1e-3_g0p15,adaptive_residual,5,0.5,0.75,cuda,NVIDIA GeForce RTX 2070 SUPER,1.958937852848531,1.4074588781283244,3.9659029755077997,5.2480791576881645,7.777251971662306,0.6818181818181818,0.7386363636363636
v1000_only_random,18,cuda_density_aware_local_krr,train,408,target_x3_a1e-4_g0p03+trig_x2_a1e-4_g0p03+target_x2_a1e-3_g0p15,adaptive_residual,5,0.5,1.0,cuda,NVIDIA GeForce RTX 2070 SUPER,1.213580804075664,1.0254912661267315,2.3607936052977534,2.9353263341919984,4.5569416651336905,0.8431372549019608,0.9240196078431373
v1000_only_random,18,cuda_density_aware_local_krr,valid,88,target_x3_a1e-4_g0p03+trig_x2_a1e-4_g0p03+target_x2_a1e-3_g0p15,adaptive_residual,5,0.5,1.0,cuda,NVIDIA GeForce RTX 2070 SUPER,2.0264191315348783,1.6860732590186256,3.66405062464773,4.663503031139441,11.071836176696687,0.6136363636363636,0.7386363636363636
v1000_only_random,18,cuda_density_aware_local_krr,test,88,target_x3_a1e-4_g0p03+trig_x2_a1e-4_g0p03+target_x2_a1e-3_g0p15,adaptive_residual,5,0.5,1.0,cuda,NVIDIA GeForce RTX 2070 SUPER,1.8128882959597732,1.451804992642019,3.3939710715620848,4.477181118022581,6.515770775475529,0.6931818181818182,0.7840909090909091
v1000_only_random,19,cuda_density_aware_local_krr,train,408,target3_delta05_a1e-4_g0p03+trig_x2_a1e-4_g0p03+target_x2_a1e-4_g0p07,adaptive_residual,10,0.5,1.0,cuda,NVIDIA GeForce RTX 2070 SUPER,1.2331651371760144,0.9926769140877072,2.3959379151839895,3.1043944990421806,5.966116496963637,0.8382352941176471,0.9068627450980392
v1000_only_random,19,cuda_density_aware_local_krr,valid,88,target3_delta05_a1e-4_g0p03+trig_x2_a1e-4_g0p03+target_x2_a1e-4_g0p07,adaptive_residual,10,0.5,1.0,cuda,NVIDIA GeForce RTX 2070 SUPER,2.005364209587858,1.5109843388677704,4.260618148606561,4.8578026620835075,7.12310321535511,0.6022727272727273,0.7386363636363636
v1000_only_random,19,cuda_density_aware_local_krr,test,88,target3_delta05_a1e-4_g0p03+trig_x2_a1e-4_g0p03+target_x2_a1e-4_g0p07,adaptive_residual,10,0.5,1.0,cuda,NVIDIA GeForce RTX 2070 SUPER,1.9487859700811017,1.5248646978223102,3.6798411751246354,4.3044929065513795,10.079236512970162,0.6363636363636364,0.7272727272727273
v1000_only_random,20,cuda_density_aware_local_krr,train,408,target3_delta05_a1e-4_g0p03+trig_x2_a1e-4_g0p03+target_x2_a1e-3_g0p15,adaptive_residual,5,0.5,1.0,cuda,NVIDIA GeForce RTX 2070 SUPER,1.2083435939461629,0.9530824396937299,2.312417118893194,3.0977707741918774,5.962437192073429,0.8553921568627451,0.9166666666666666
v1000_only_random,20,cuda_density_aware_local_krr,valid,88,target3_delta05_a1e-4_g0p03+trig_x2_a1e-4_g0p03+target_x2_a1e-3_g0p15,adaptive_residual,5,0.5,1.0,cuda,NVIDIA GeForce RTX 2070 SUPER,2.0632009897814867,1.5221988431318527,4.061030565718234,5.2282117595902795,10.204982720503192,0.6136363636363636,0.6931818181818182
v1000_only_random,20,cuda_density_aware_local_krr,test,88,target3_delta05_a1e-4_g0p03+trig_x2_a1e-4_g0p03+target_x2_a1e-3_g0p15,adaptive_residual,5,0.5,1.0,cuda,NVIDIA GeForce RTX 2070 SUPER,1.9052851738253764,1.3015940816290477,4.348617315137256,5.843048952340713,6.323887935030306,0.6818181818181818,0.7386363636363636
v1000_only_random,21,cuda_density_aware_local_krr,train,408,target3_delta05_a3e-4_g0p03+trig_x2_a1e-4_g0p03+target05_trig2_a3e-4_g0p05+target_x2_a1e-3_g0p15,adaptive_residual,5,0.5,0.75,cuda,NVIDIA GeForce RTX 2070 SUPER,1.3562001772084304,1.0769457876957653,2.77348580468204,3.408720927142192,6.386525033504347,0.8186274509803921,0.8823529411764706
v1000_only_random,21,cuda_density_aware_local_krr,valid,88,target3_delta05_a3e-4_g0p03+trig_x2_a1e-4_g0p03+target05_trig2_a3e-4_g0p05+target_x2_a1e-3_g0p15,adaptive_residual,5,0.5,0.75,cuda,NVIDIA GeForce RTX 2070 SUPER,1.7941626871336,1.3898605862164057,3.291233321481754,3.9254024449536473,5.582506879667999,0.7045454545454546,0.75
